Year,Country,GDP per capita,Population,Unemployment rate,Continent
2019,Maldives,11349.85927,504508,4.562,Asia
2019,Mali,840.1757464,20567424,2.414,Africa
2019,Malta,31751.18118,504062,3.627,Europe
2019,Marshall Islands,5186.833842,44728,,Oceania
2019,Mauritania,1800.875187,4383849,10.416,Africa
2019,Mauritius,11403.25279,1265985,6.331,Africa
2019,Mexico,10434.56762,125085311,3.477,North America
2019,"Micronesia, Fed. Sts.",3537.471157,111379,,Oceania
2019,Moldova,4405.334182,2664224,1.502,Europe
2019,Monaco,199382.8386,37034,,Europe
2019,Mongolia,4394.94715,3232430,9.269,Asia
2019,Montenegro,8909.653876,622028,15.128,Europe
2019,Morocco,3498.582764,36304408,9.21,Africa
2019,Mozambique,512.2157569,30285595,3.632,Africa
2019,Myanmar,1415.248986,53040212,0.407,Asia
2019,Namibia,5126.176143,2446644,19.945,Africa
2019,Nauru,10316.52782,12132,,Oceania
2019,Nepal,1185.682318,28832496,10.578,Asia
2019,Netherlands,52476.27325,17344874,3.38,Europe
2019,New Caledonia,34934.57943,271240,10.881,Oceania
2019,New Zealand,42747.20993,4979200,4.109,Oceania
2019,Nicaragua,1905.640917,6663924,5.47,North America
2019,Niger,549.8161278,23443393,0.544,Africa
2019,Nigeria,2334.023642,203304492,5.206,Africa
2019,North Macedonia,6718.858266,1876262,17.414,Europe
2019,Northern Mariana Islands,23687.27185,49858,,Oceania
2019,Norway,76430.58895,5347896,3.687,Europe
2019,Oman,19132.15227,4602768,2.052,Asia
2019,Pakistan,1437.165833,223293280,4.83,Asia
2019,Palau,15730.55955,17916,,Oceania
2019,Panama,16472.83175,4232532,6.332,North America
2019,Papua New Guinea,2593.775554,9542486,2.599,Oceania
2019,Paraguay,5807.838794,6530026,6.595,South America
2019,Peru,6956.495749,32824861,3.379,South America
2019,Philippines,3413.849044,110380804,2.237,Asia
2019,Poland,15700.01358,37965475,3.277,Europe
2019,Portugal,23330.81729,10286263,6.464,Europe
2019,Puerto Rico,32916.8668,3193694,8.3,North America
2019,Qatar,62827.39696,2807235,0.1,Asia
2019,Romania,12957.99911,19371648,3.912,Europe
2019,Russian Federation,11447.70117,145453291,4.496,Europe
2019,Rwanda,806.332472,12835028,11.236,Africa
2019,Samoa,4308.300729,211905,9.601,Oceania
2019,San Marino,47287.39839,34178,,Europe
2019,Sao Tome and Principe,1924.40815,214599,13.998,Africa
2019,Saudi Arabia,23405.70874,35827362,5.636,Asia
2019,Senegal,1462.678353,16000781,2.863,Africa
2019,Serbia,7417.206608,6945235,10.395,Europe
2019,Seychelles,19141.51187,97625,,Africa
2019,Sierra Leone,506.6069138,8046828,3.204,Africa
2019,Singapore,66081.71992,5703569,3.1,Asia
2019,Sint Maarten (Dutch part),35509.49473,39648,,North America
2019,Slovak Republic,19381.89055,5454147,5.761,Europe
2019,Slovenia,26042.44635,2088385,4.448,Europe
2019,Solomon Islands,2398.77305,674993,0.746,Oceania
2019,Somalia,589.4658919,15981300,18.828,Africa
2019,South Africa,6702.526617,58087055,25.538,Africa
2019,South Sudan,..,10447666,12.642,Africa
2019,Spain,29581.51855,47134837,14.104,Europe
2019,Sri Lanka,4082.694049,21803000,4.67,Asia
2019,St. Kitts and Nevis,23219.64193,47712,,North America
2019,St. Lucia,11714.89755,178583,15.613,North America
2019,St. Martin (French part),19691.61671,33121,,North America
2019,St. Vincent and the Grenadines,8680.251102,104924,19.22,North America
2019,Sudan,748.0109253,43232093,12.014,Africa
2019,Suriname,6690.044786,600301,7.545,South America
2019,Sweden,51939.42974,10278887,6.833,Europe
2019,Switzerland,84121.93103,8575280,4.394,Europe
2019,Syrian Arab Republic,1123.632353,20098251,13.393,Asia
2019,Tajikistan,889.0233407,9337003,6.898,Asia
2019,Tanzania,1050.931763,59872579,2.518,Africa
2019,Thailand,7628.576033,71307763,0.716,Asia
2019,Timor-Leste,1583.078603,1280438,3.129,Asia
2019,Togo,848.310125,8243094,2.056,Africa
2019,Tonga,4878.978686,104951,2.164,Oceania
2019,Trinidad and Tobago,15642.40672,1519955,3.523,North America
2019,Tunisia,3477.836181,12049314,17.153,Africa
2019,Turkiye,9215.440875,82579440,13.73,Asia
2019,Turkmenistan,7344.880204,6158420,4.055,Asia
2019,Turks and Caicos Islands,27327.88328,43080,,North America
2019,Tuvalu,4940.050983,10956,,Oceania
2019,Uganda,823.0247329,42949080,3.185,Africa
2019,Ukraine,3661.457764,44474512,8.194,Europe
2019,United Arab Emirates,45376.17084,9211657,2.331,Asia
2019,United Kingdom,42662.53537,66836327,3.737,Europe
2019,United States,65548.07078,328329953,3.669,North America
2019,Uruguay,18149.05629,3428409,8.734,South America
2019,Uzbekistan,1795.201768,33580350,4.945,Asia
